unit_id,file_id,heading_path,part,start_line,end_line,line_count,scene,scene_requested,scene_document_prior,scene_routing_decision,scene_routing_policy_sha256,scene_routing_policy_revision,scene_routing_top_score,scene_routing_margin,voice_profile_id,voice_profile_revision,voice_profile_confidence,voice_profile_kind,voice_profile_source,voice_profile_binding_scene,voice_profile_sha256,voice_default_disclosure,chunk_binding_sha256,mode,intensity,structural_plan_status,structural_semantic_review_status,paired_quality_review_status,rewrite_intent_status,transaction_id,transaction_status,owner_chunk,context_before_unit,context_after_unit,author_chars,protected_spans,status,hash_before,hash_after,diff_path,protected_hashes_ok,style_validation,notes,unresolved_codes_json
U-218755c1380f,F00001,(front-matter),1,1,64,64,RESEARCH,RESEARCH,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-research,1,DEFAULT,DEFAULT,SCENE_DEFAULT,RESEARCH,18887ba292c25e48d8f9fc598e1a33fa721d1fa8795b3d78f9964af0773b39e0,True,25de79d7b7735a25609228b6e08fb40b74247627ccf45d4fe4c0350a13628524,REWRITE,BALANCED,NOT_RUN,,,,,,U-218755c1380f,,U-b5c30d3ca9bd,280,34,UNRESOLVED,f9e9d58fa33c29fab03679337304946759e6f04bbab257654ba4f359187795b9,,,NOT_RUN,NOT_RUN,environment:TEX_MACRO_DEFINITION_UNSUPPORTED: TeX macro definitions cannot be authenticated statically,"[""PREPARE_UNRESOLVED""]"
U-b5c30d3ca9bd,F00001,研究边界、证据与处理方法,1,65,72,8,RESEARCH,RESEARCH,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-research,1,DEFAULT,DEFAULT,SCENE_DEFAULT,RESEARCH,18887ba292c25e48d8f9fc598e1a33fa721d1fa8795b3d78f9964af0773b39e0,True,3e7846a82fe2e64f843c7c73d29732aa521a97a56e96472e1a1c7c68369a239a,REWRITE,BALANCED,NOT_APPLICABLE,NOT_ISSUED,PENDING_EXTERNAL_REVIEW,PASS,,,U-b5c30d3ca9bd,U-218755c1380f,U-49a34aee86bf,145,3,DONE,0e43454995566747e856da123a4cb4b065a565a1cb91421843b2dc69379f9711,438a623acfcb51c34cd56c02eda418cf6326bb5b116e494e4a734a63cc6da61e,diffs\U-b5c30d3ca9bd.diff,PASS,PASS,,[]
U-49a34aee86bf,F00001,研究边界、证据与处理方法 / 语料边界,1,73,105,33,RESEARCH,RESEARCH,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-research,1,DEFAULT,DEFAULT,SCENE_DEFAULT,RESEARCH,18887ba292c25e48d8f9fc598e1a33fa721d1fa8795b3d78f9964af0773b39e0,True,84a5775fc1e5e27e60da27bcebb5310e20e115fd5c32e392f05eede73f422ffc,REWRITE,BALANCED,NOT_RUN,,,FAIL,,,U-49a34aee86bf,U-b5c30d3ca9bd,U-461bd14fcb2f,213,28,UNRESOLVED,80ef51b01c0cadcea6fd2d8bccad67e53cf2fd89f3a6f792573c4684ca1fa390,,,NOT_RUN,NOT_RUN,invalid_rewrite_bundle:no_change_evidence_spans_id_invalid,"[""REWRITE_BUNDLE_INVALID""]"
U-461bd14fcb2f,F00001,研究边界、证据与处理方法 / 页面识别与证据台账,1,106,127,22,RESEARCH,RESEARCH,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-research,1,DEFAULT,DEFAULT,SCENE_DEFAULT,RESEARCH,18887ba292c25e48d8f9fc598e1a33fa721d1fa8795b3d78f9964af0773b39e0,True,385c2c348a89dd0e822dacd5447337f3e61db491ccf518f089e949377d325d84,REWRITE,BALANCED,NOT_APPLICABLE,NOT_ISSUED,BLOCKED_BY_MECHANICAL_GATE,,,,U-461bd14fcb2f,U-49a34aee86bf,U-570865d27a0f,466,3,UNRESOLVED,4fbdac16d79e9ed043242be9b3595d7dcf3e02fb697f7acb096e6ea1e4e38136,,,PASS,REVIEW,"validator:REVIEW:unexplained_high_severity_signal,unexplained_strict_corpus_signal","[""VALIDATOR_NOT_PASS""]"
U-570865d27a0f,F00001,六年真题任务图谱与人员分工,1,128,129,2,RESEARCH,RESEARCH,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-research,1,DEFAULT,DEFAULT,SCENE_DEFAULT,RESEARCH,18887ba292c25e48d8f9fc598e1a33fa721d1fa8795b3d78f9964af0773b39e0,True,e87c2d20b39acd6c28016932effd7c865058a2199796e1e1d80196dca33251f1,REWRITE,BALANCED,NOT_RUN,,,,,,U-570865d27a0f,U-461bd14fcb2f,U-efc3c8ffbf6f,0,1,SKIPPED_PROTECTED,a801dc7c9ce2be4a5b22bac6b6817fa7a56dd6d15488a7357ddbaf5d2a0b2b21,,,NOT_RUN,NOT_RUN,,[]
U-efc3c8ffbf6f,F00001,六年真题任务图谱与人员分工 / 十八道真题的训练定位,1,130,166,37,RESEARCH,RESEARCH,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-research,1,DEFAULT,DEFAULT,SCENE_DEFAULT,RESEARCH,18887ba292c25e48d8f9fc598e1a33fa721d1fa8795b3d78f9964af0773b39e0,True,319ab4fba20dc3cf2eb0762eb0c2f6b7b7c39068c845d8ea115fa2d17478584d,REWRITE,BALANCED,NOT_RUN,,,FAIL,,,U-efc3c8ffbf6f,U-570865d27a0f,U-3958ea55e248,802,35,UNRESOLVED,08fbf22042e6927deed11e74f9c0fe8e8438311a41586d29b2f43b6337d488a1,,,NOT_RUN,NOT_RUN,invalid_rewrite_bundle:no_change_evidence_spans_id_invalid,"[""REWRITE_BUNDLE_INVALID""]"
U-3958ea55e248,F00001,六年真题任务图谱与人员分工 / 四块学习结构,1,167,175,9,RESEARCH,RESEARCH,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-research,1,DEFAULT,DEFAULT,SCENE_DEFAULT,RESEARCH,18887ba292c25e48d8f9fc598e1a33fa721d1fa8795b3d78f9964af0773b39e0,True,0320b565e2e2b479c809872265161e22cdbb743f595af19f55c57416d6e29e46,REWRITE,BALANCED,NOT_RUN,,,FAIL,,,U-3958ea55e248,U-efc3c8ffbf6f,U-f1021ad0cfa9,156,2,UNRESOLVED,3f4ae6b5cffaafb719838b69aebcd416ba9e176850c67b2ce9afb48233006f68,,,NOT_RUN,NOT_RUN,invalid_rewrite_bundle:no_change_evidence_spans_id_invalid,"[""REWRITE_BUNDLE_INVALID""]"
U-f1021ad0cfa9,F00001,理论知识学习笔记,1,176,177,2,RESEARCH,RESEARCH,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-research,1,DEFAULT,DEFAULT,SCENE_DEFAULT,RESEARCH,18887ba292c25e48d8f9fc598e1a33fa721d1fa8795b3d78f9964af0773b39e0,True,89945edc5755bcd698faa8c7749ddcff2d11c7c4c427b303dcc2a101a35a3972,REWRITE,BALANCED,NOT_RUN,,,,,,U-f1021ad0cfa9,U-3958ea55e248,U-d334cb904eee,0,1,SKIPPED_PROTECTED,698ee52da61122fb7e84cf99b57e6ddcc65fd090410817a4d8af58d7e56f39e2,,,NOT_RUN,NOT_RUN,,[]
U-d334cb904eee,F00001,理论知识学习笔记 / 队长：机理、连续模型与数值实现,1,178,179,2,RESEARCH,RESEARCH,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-research,1,DEFAULT,DEFAULT,SCENE_DEFAULT,RESEARCH,18887ba292c25e48d8f9fc598e1a33fa721d1fa8795b3d78f9964af0773b39e0,True,b39b79bb72983ecf3c3952c4e7df1c59745649bdc07fc0c249b90d0f72daea96,REWRITE,BALANCED,NOT_RUN,,,,,,U-d334cb904eee,U-f1021ad0cfa9,U-fb3e5277559b,0,1,SKIPPED_PROTECTED,a783d3a31cb876d577a4e1308dc3f09ecf84c9340894d9e347dd9756a1192fed,,,NOT_RUN,NOT_RUN,,[]
U-fb3e5277559b,F00001,理论知识学习笔记 / 队长：机理、连续模型与数值实现 / 覆盖内容、原理与求解步骤,1,180,205,26,RESEARCH,RESEARCH,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-research,1,DEFAULT,DEFAULT,SCENE_DEFAULT,RESEARCH,18887ba292c25e48d8f9fc598e1a33fa721d1fa8795b3d78f9964af0773b39e0,True,9bb58f2713889e4a70574b7131ecba865ea4dcfcdb61713d628ec2f2ab6364fa,REWRITE,BALANCED,NOT_APPLICABLE,NOT_ISSUED,PENDING_EXTERNAL_REVIEW,PASS,,,U-fb3e5277559b,U-d334cb904eee,U-0c70247ad82e,489,10,DONE,d803997805f65e52e7fb6523c345d7bd10ad7d9ae631a2326f6b7b890f94867e,c4b8b69e394bc9d4c6df3d196a6539f54ed64341834221c196f13fbc2ca5e35e,diffs\U-fb3e5277559b.diff,PASS,PASS,,[]
