unit_id,file_id,heading_path,part,start_line,end_line,line_count,scene,scene_requested,scene_document_prior,scene_routing_decision,scene_routing_policy_sha256,scene_routing_policy_revision,scene_routing_top_score,scene_routing_margin,voice_profile_id,voice_profile_revision,voice_profile_confidence,voice_profile_kind,voice_profile_source,voice_profile_binding_scene,voice_profile_sha256,voice_default_disclosure,chunk_binding_sha256,mode,intensity,structural_plan_status,structural_semantic_review_status,paired_quality_review_status,rewrite_intent_status,transaction_id,transaction_status,owner_chunk,context_before_unit,context_after_unit,author_chars,protected_spans,status,hash_before,hash_after,diff_path,protected_hashes_ok,style_validation,notes,unresolved_codes_json
U-ec03cc4ec8b7,F00001,(front-matter),1,1,64,64,RESEARCH,RESEARCH,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-research,1,DEFAULT,DEFAULT,SCENE_DEFAULT,RESEARCH,18887ba292c25e48d8f9fc598e1a33fa721d1fa8795b3d78f9964af0773b39e0,True,e27cec1af7ad2098183376e3b556455ef5ba2c1be9651e7766649ad23d8f5dc9,REWRITE,BALANCED,NOT_APPLICABLE,NOT_REQUIRED,PENDING_EXTERNAL_REVIEW,PASS,,,U-ec03cc4ec8b7,,U-9d7485a4477f,305,33,NO_CHANGE,0799b21cd80a25383f227749c1f8a153158b79d188c721bf49e008061d2951be,0799b21cd80a25383f227749c1f8a153158b79d188c721bf49e008061d2951be,,PASS,PASS,本单元承担“(front-matter)”的对象、条件与证据边界；原文段落已锁定术语、数字和论证顺序，保持原句可避免结构漂移。,[]
U-9d7485a4477f,F00001,研究边界、证据与处理方法,1,65,66,2,RESEARCH,RESEARCH,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-research,1,DEFAULT,DEFAULT,SCENE_DEFAULT,RESEARCH,18887ba292c25e48d8f9fc598e1a33fa721d1fa8795b3d78f9964af0773b39e0,True,6f4485406322a0a06cd658450a04e694aec5a9315875c9ce34d7fbdfc446a715,REWRITE,BALANCED,NOT_RUN,,,,,,U-9d7485a4477f,U-ec03cc4ec8b7,U-355c78162fa6,0,1,SKIPPED_PROTECTED,b7c081dd1b4adcc3ad45937264ad6c5e829d5186e0c03c0389f5b738f20fa0ea,,,NOT_RUN,NOT_RUN,,[]
U-355c78162fa6,F00001,研究边界、证据与处理方法 / 语料边界,1,67,99,33,RESEARCH,RESEARCH,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-research,1,DEFAULT,DEFAULT,SCENE_DEFAULT,RESEARCH,18887ba292c25e48d8f9fc598e1a33fa721d1fa8795b3d78f9964af0773b39e0,True,a49dec0edaffa79c9424084120befc268f40d265f8b4d01396e73c7d185dde4f,REWRITE,BALANCED,NOT_APPLICABLE,NOT_REQUIRED,PENDING_EXTERNAL_REVIEW,PASS,,,U-355c78162fa6,U-9d7485a4477f,U-fdb9c9998d0c,213,28,NO_CHANGE,80ef51b01c0cadcea6fd2d8bccad67e53cf2fd89f3a6f792573c4684ca1fa390,80ef51b01c0cadcea6fd2d8bccad67e53cf2fd89f3a6f792573c4684ca1fa390,,PASS,PASS,本单元承担“语料边界”的对象、条件与证据边界；原文段落已锁定术语、数字和论证顺序，保持原句可避免结构漂移。,[]
U-fdb9c9998d0c,F00001,研究边界、证据与处理方法 / 页面识别与证据台账,1,100,119,20,RESEARCH,RESEARCH,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-research,1,DEFAULT,DEFAULT,SCENE_DEFAULT,RESEARCH,18887ba292c25e48d8f9fc598e1a33fa721d1fa8795b3d78f9964af0773b39e0,True,43abe4cf6040d2741ff98bee8ba4a1d3bf71485625dfa51ee46990999e1d3725,REWRITE,BALANCED,NOT_APPLICABLE,NOT_REQUIRED,PENDING_EXTERNAL_REVIEW,PASS,,,U-fdb9c9998d0c,U-355c78162fa6,U-55219e145dc2,413,3,NO_CHANGE,b98a646e73554d80a88f6163f3d51911ad1a847195e6d3560991028b0fb100c2,b98a646e73554d80a88f6163f3d51911ad1a847195e6d3560991028b0fb100c2,,PASS,PASS,本单元承担“页面识别与证据台账”的对象、条件与证据边界；原文段落已锁定术语、数字和论证顺序，保持原句可避免结构漂移。,[]
U-55219e145dc2,F00001,六年真题任务图谱与人员分工,1,120,121,2,RESEARCH,RESEARCH,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-research,1,DEFAULT,DEFAULT,SCENE_DEFAULT,RESEARCH,18887ba292c25e48d8f9fc598e1a33fa721d1fa8795b3d78f9964af0773b39e0,True,b2b82e09db0df5058c53de3774b037cd961fbe95d24feff34077b7bc7b00327e,REWRITE,BALANCED,NOT_RUN,,,,,,U-55219e145dc2,U-fdb9c9998d0c,U-f70551e0ee47,0,1,SKIPPED_PROTECTED,a801dc7c9ce2be4a5b22bac6b6817fa7a56dd6d15488a7357ddbaf5d2a0b2b21,,,NOT_RUN,NOT_RUN,,[]
U-f70551e0ee47,F00001,六年真题任务图谱与人员分工 / 十八道真题的训练定位,1,122,158,37,RESEARCH,RESEARCH,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-research,1,DEFAULT,DEFAULT,SCENE_DEFAULT,RESEARCH,18887ba292c25e48d8f9fc598e1a33fa721d1fa8795b3d78f9964af0773b39e0,True,f9db994c5baf4e80c0268c21bb1caf0ce17e199ddb0089fd5d73e22328d7c842,REWRITE,BALANCED,NOT_APPLICABLE,NOT_REQUIRED,PENDING_EXTERNAL_REVIEW,PASS,,,U-f70551e0ee47,U-55219e145dc2,U-3b8761575436,802,35,NO_CHANGE,08fbf22042e6927deed11e74f9c0fe8e8438311a41586d29b2f43b6337d488a1,08fbf22042e6927deed11e74f9c0fe8e8438311a41586d29b2f43b6337d488a1,,PASS,PASS,本单元承担“十八道真题的训练定位”的对象、条件与证据边界；原文段落已锁定术语、数字和论证顺序，保持原句可避免结构漂移。,[]
U-3b8761575436,F00001,六年真题任务图谱与人员分工 / 四块学习结构,1,159,167,9,RESEARCH,RESEARCH,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-research,1,DEFAULT,DEFAULT,SCENE_DEFAULT,RESEARCH,18887ba292c25e48d8f9fc598e1a33fa721d1fa8795b3d78f9964af0773b39e0,True,2e645691bb3a1f37ce0d968209488a67eca081424b1c542e6613a6242551b0cb,REWRITE,BALANCED,NOT_APPLICABLE,NOT_REQUIRED,PENDING_EXTERNAL_REVIEW,PASS,,,U-3b8761575436,U-f70551e0ee47,U-5bb5b3dc07e7,156,2,NO_CHANGE,3f4ae6b5cffaafb719838b69aebcd416ba9e176850c67b2ce9afb48233006f68,3f4ae6b5cffaafb719838b69aebcd416ba9e176850c67b2ce9afb48233006f68,,PASS,PASS,本单元承担“四块学习结构”的对象、条件与证据边界；原文段落已锁定术语、数字和论证顺序，保持原句可避免结构漂移。,[]
U-5bb5b3dc07e7,F00001,理论知识学习笔记,1,168,169,2,RESEARCH,RESEARCH,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-research,1,DEFAULT,DEFAULT,SCENE_DEFAULT,RESEARCH,18887ba292c25e48d8f9fc598e1a33fa721d1fa8795b3d78f9964af0773b39e0,True,46fcf1bff72a4bb97432f9a9d37eff505bac9d2488631c69db3c3f64780e2cea,REWRITE,BALANCED,NOT_RUN,,,,,,U-5bb5b3dc07e7,U-3b8761575436,U-f1ef2a934b67,0,1,SKIPPED_PROTECTED,698ee52da61122fb7e84cf99b57e6ddcc65fd090410817a4d8af58d7e56f39e2,,,NOT_RUN,NOT_RUN,,[]
U-f1ef2a934b67,F00001,理论知识学习笔记 / 队长：机理、连续模型与数值实现,1,170,171,2,RESEARCH,RESEARCH,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-research,1,DEFAULT,DEFAULT,SCENE_DEFAULT,RESEARCH,18887ba292c25e48d8f9fc598e1a33fa721d1fa8795b3d78f9964af0773b39e0,True,f4b697ee0c5048d647edd4cd64828a592018c64cb158486172e2aacd1e3a7173,REWRITE,BALANCED,NOT_RUN,,,,,,U-f1ef2a934b67,U-5bb5b3dc07e7,U-c9ff48d072e4,0,1,SKIPPED_PROTECTED,a783d3a31cb876d577a4e1308dc3f09ecf84c9340894d9e347dd9756a1192fed,,,NOT_RUN,NOT_RUN,,[]
U-c9ff48d072e4,F00001,理论知识学习笔记 / 队长：机理、连续模型与数值实现 / 覆盖内容、原理与求解步骤,1,172,197,26,RESEARCH,RESEARCH,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-research,1,DEFAULT,DEFAULT,SCENE_DEFAULT,RESEARCH,18887ba292c25e48d8f9fc598e1a33fa721d1fa8795b3d78f9964af0773b39e0,True,1ece1318cd7fbe10d88fdf78ace85676f5c7e3fe794fc116b3d5211201c621c1,REWRITE,BALANCED,NOT_APPLICABLE,NOT_REQUIRED,PENDING_EXTERNAL_REVIEW,PASS,,,U-c9ff48d072e4,U-f1ef2a934b67,U-c5f1968f4bc4,489,10,NO_CHANGE,d803997805f65e52e7fb6523c345d7bd10ad7d9ae631a2326f6b7b890f94867e,d803997805f65e52e7fb6523c345d7bd10ad7d9ae631a2326f6b7b890f94867e,,PASS,PASS,本单元承担“覆盖内容、原理与求解步骤”的对象、条件与证据边界；原文段落已锁定术语、数字和论证顺序，保持原句可避免结构漂移。,[]
U-c5f1968f4bc4,F00001,理论知识学习笔记 / 队长：机理、连续模型与数值实现 / 开源代码逻辑、约束与选型边界,1,198,216,19,RESEARCH,RESEARCH,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-research,1,DEFAULT,DEFAULT,SCENE_DEFAULT,RESEARCH,18887ba292c25e48d8f9fc598e1a33fa721d1fa8795b3d78f9964af0773b39e0,True,320268561ad177b423d45b7f7cd90288327fda1fe422a0bc626992013ab44da3,REWRITE,BALANCED,NOT_APPLICABLE,NOT_REQUIRED,PENDING_EXTERNAL_REVIEW,PASS,,,U-c5f1968f4bc4,U-c9ff48d072e4,U-06dbdca5230f,237,8,NO_CHANGE,cc661b8235c81d78cb792d2f78047a4b4a7f195baf4fa7426322b18bb5218d3b,cc661b8235c81d78cb792d2f78047a4b4a7f195baf4fa7426322b18bb5218d3b,,PASS,PASS,本单元承担“开源代码逻辑、约束与选型边界”的对象、条件与证据边界；原文段落已锁定术语、数字和论证顺序，保持原句可避免结构漂移。,[]
U-06dbdca5230f,F00001,理论知识学习笔记 / 队长：机理、连续模型与数值实现 / 开源代码逻辑、约束与选型边界 / 可实现代码清单,1,217,226,10,RESEARCH,RESEARCH,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-research,1,DEFAULT,DEFAULT,SCENE_DEFAULT,RESEARCH,18887ba292c25e48d8f9fc598e1a33fa721d1fa8795b3d78f9964af0773b39e0,True,8ef44c00292cb399a90c74cfe89b5aefd7f3eb70c587cff1bb025d75b044ce27,REWRITE,BALANCED,NOT_APPLICABLE,NOT_REQUIRED,PENDING_EXTERNAL_REVIEW,PASS,,,U-06dbdca5230f,U-c5f1968f4bc4,U-b9a11d9e8ed9,90,9,NO_CHANGE,e10bc078a3502f7ed80c73f90d9360483526099719832986dfd0e91b28851f46,e10bc078a3502f7ed80c73f90d9360483526099719832986dfd0e91b28851f46,,PASS,PASS,本单元承担“可实现代码清单”的对象、条件与证据边界；原文段落已锁定术语、数字和论证顺序，保持原句可避免结构漂移。,[]
U-b9a11d9e8ed9,F00001,理论知识学习笔记 / 组员1：规划、智能优化、图网络与仿真,1,227,228,2,RESEARCH,RESEARCH,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-research,1,DEFAULT,DEFAULT,SCENE_DEFAULT,RESEARCH,18887ba292c25e48d8f9fc598e1a33fa721d1fa8795b3d78f9964af0773b39e0,True,78a1131fd10729e68429effb74d59b8115fca65f8de9195df4af6a83f1debb3b,REWRITE,BALANCED,NOT_RUN,,,,,,U-b9a11d9e8ed9,U-06dbdca5230f,U-5dbb7862b9f1,0,1,SKIPPED_PROTECTED,747be1f779b11e8d07766139aff610eea4785377875b75771299b779f48fcbd5,,,NOT_RUN,NOT_RUN,,[]
U-5dbb7862b9f1,F00001,理论知识学习笔记 / 组员1：规划、智能优化、图网络与仿真 / 覆盖内容、原理与求解步骤,1,229,259,31,RESEARCH,RESEARCH,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-research,1,DEFAULT,DEFAULT,SCENE_DEFAULT,RESEARCH,18887ba292c25e48d8f9fc598e1a33fa721d1fa8795b3d78f9964af0773b39e0,True,920abe4485986327fd5447f463dddb6b2cc9fa5ebf294992e810ded52f00d5d3,REWRITE,BALANCED,NOT_APPLICABLE,NOT_REQUIRED,PENDING_EXTERNAL_REVIEW,PASS,,,U-5dbb7862b9f1,U-b9a11d9e8ed9,U-bc8f333f2041,561,11,NO_CHANGE,7feed6997459d9e0f7b3662c30ec9c70e7abccb04a7fc15fed36babba58c0c10,7feed6997459d9e0f7b3662c30ec9c70e7abccb04a7fc15fed36babba58c0c10,,PASS,PASS,本单元承担“覆盖内容、原理与求解步骤”的对象、条件与证据边界；原文段落已锁定术语、数字和论证顺序，保持原句可避免结构漂移。,[]
