unit_id,file_id,heading_path,part,start_line,end_line,line_count,scene,scene_requested,scene_document_prior,scene_routing_decision,scene_routing_policy_sha256,scene_routing_policy_revision,scene_routing_top_score,scene_routing_margin,voice_profile_id,voice_profile_revision,voice_profile_confidence,voice_profile_kind,voice_profile_source,voice_profile_binding_scene,voice_profile_sha256,voice_default_disclosure,chunk_binding_sha256,mode,intensity,structural_plan_status,structural_semantic_review_status,paired_quality_review_status,rewrite_intent_status,transaction_id,transaction_status,owner_chunk,context_before_unit,context_after_unit,author_chars,protected_spans,status,hash_before,hash_after,diff_path,protected_hashes_ok,style_validation,notes,unresolved_codes_json
U-8257423db31c,F00001,(front-matter),1,1,20,20,MODELING,MODELING,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-modeling,1,DEFAULT,DEFAULT,SCENE_DEFAULT,MODELING,9e19a368d6cc11f3f05259e3fa2662c867ba99d15bcd320a4853d72a41190a01,True,c1339546787d54715d8bdc66a6c2cd661422748b157285061e9ea3e6b8ad88a3,REWRITE,BALANCED,NOT_RUN,,,,,,U-8257423db31c,,U-e276c4b22163,0,18,SKIPPED_PROTECTED,e9e961edaba8d99c42d212259e97991d969db5c3a8a45fc2c0bc60eca000112d,,,NOT_RUN,NOT_RUN,tex_preamble_locked,[]
U-e276c4b22163,F00001,(front-matter),1,20,34,15,MODELING,MODELING,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-modeling,1,DEFAULT,DEFAULT,SCENE_DEFAULT,MODELING,9e19a368d6cc11f3f05259e3fa2662c867ba99d15bcd320a4853d72a41190a01,True,56073dfd626724cf81879b102f70ab329c73d26d3afe07eb098e28051080c211,REWRITE,BALANCED,NOT_APPLICABLE,NOT_ISSUED,PENDING_EXTERNAL_REVIEW,PASS,,,U-e276c4b22163,U-8257423db31c,U-b1bac710ec42,877,14,DONE,a1607838e3418b96b6ec16d751a6e3edd5e3de39ad4d7c5e6ab71d8661ecb661,98866e9dd4fc8d0de455291f9f325f82436a12a0349673b5be461ce144d69c5e,diffs\U-e276c4b22163.diff,PASS,PASS,,[]
U-b1bac710ec42,F00001,问题重述,1,35,49,15,MODELING,MODELING,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-modeling,1,DEFAULT,DEFAULT,SCENE_DEFAULT,MODELING,9e19a368d6cc11f3f05259e3fa2662c867ba99d15bcd320a4853d72a41190a01,True,1504c82c5c699553012c4c03052c4f420bfb3cb08664c8bd88e135b91bd95166,REWRITE,BALANCED,NOT_APPLICABLE,NOT_ISSUED,PENDING_EXTERNAL_REVIEW,PASS,,,U-b1bac710ec42,U-e276c4b22163,U-1e2a8a1cf6bc,694,13,DONE,617fa5c9455478a20c580bb58a557b07a3213f056bc00241f50374220910badd,f1fcb02a18d2c0ceedf7065bfb2929e3ad0efbdd139b49e3f4c24adb9975ea31,diffs\U-b1bac710ec42.diff,PASS,PASS,,[]
U-1e2a8a1cf6bc,F00001,问题分析,1,50,50,1,MODELING,MODELING,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-modeling,1,DEFAULT,DEFAULT,SCENE_DEFAULT,MODELING,9e19a368d6cc11f3f05259e3fa2662c867ba99d15bcd320a4853d72a41190a01,True,423af9f472339504ca25bd7a4eaea62fe92e6ede455f4f20d83c77f881f25023,REWRITE,BALANCED,NOT_RUN,,,,,,U-1e2a8a1cf6bc,U-b1bac710ec42,U-3644a855b083,0,1,SKIPPED_PROTECTED,f38a4f8ae177bb27b87de336d6695787bbae53ed1f7aa24b5b457f09f046c0db,,,NOT_RUN,NOT_RUN,,[]
U-3644a855b083,F00001,问题分析 / 总体分析,1,51,55,5,MODELING,MODELING,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-modeling,1,DEFAULT,DEFAULT,SCENE_DEFAULT,MODELING,9e19a368d6cc11f3f05259e3fa2662c867ba99d15bcd320a4853d72a41190a01,True,ddef9b48710d2693ed9ba8a79209e41e86b79d3981442962e3a18b52afab1e29,REWRITE,BALANCED,NOT_APPLICABLE,NOT_ISSUED,PENDING_EXTERNAL_REVIEW,PASS,,,U-3644a855b083,U-1e2a8a1cf6bc,U-c530201b41a9,250,4,DONE,2d9277b402d9a98a9e62e4baff893aec4262f1dd6bb679d7357fbca610952a31,7ad23758f723d57a2920b84210c480a7f89f027f982ca403e9e1c0702a390f6b,diffs\U-3644a855b083.diff,PASS,PASS,,[]
U-c530201b41a9,F00001,问题分析 / 问题一分析,1,56,60,5,MODELING,MODELING,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-modeling,1,DEFAULT,DEFAULT,SCENE_DEFAULT,MODELING,9e19a368d6cc11f3f05259e3fa2662c867ba99d15bcd320a4853d72a41190a01,True,c1081574d47b068444274d0ebd59f0225d9d152e891b025a4badc9a089826c92,REWRITE,BALANCED,NOT_APPLICABLE,NOT_ISSUED,PENDING_EXTERNAL_REVIEW,PASS,,,U-c530201b41a9,U-3644a855b083,U-d92f7920cc9c,198,6,DONE,4e6042c171e7f2d38f5648fc2340249fff711739bd9ede2fe2bcb98029d2054e,95e0bac9db109883b78c8f0000f6721e431187f6daf99d4a905f8e14af0d9266,diffs\U-c530201b41a9.diff,PASS,PASS,,[]
U-d92f7920cc9c,F00001,问题分析 / 问题二分析,1,61,65,5,MODELING,MODELING,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-modeling,1,DEFAULT,DEFAULT,SCENE_DEFAULT,MODELING,9e19a368d6cc11f3f05259e3fa2662c867ba99d15bcd320a4853d72a41190a01,True,f7532a1973afa2406d73ba8fd60fb736249587cddba502babf67b6cee891ab95,REWRITE,BALANCED,NOT_APPLICABLE,NOT_ISSUED,PENDING_EXTERNAL_REVIEW,PASS,,,U-d92f7920cc9c,U-c530201b41a9,U-05e9265c162b,206,1,DONE,df3c97eba9f9a7b49dc8ec069a9a8f01711d7239101961e211966a3ad64a30b0,41f1ab1792cf4308ed5a85f034998d45293ca165fb8fd1d2fddc9a24d461f000,diffs\U-d92f7920cc9c.diff,PASS,PASS,,[]
U-05e9265c162b,F00001,问题分析 / 问题三分析,1,66,70,5,MODELING,MODELING,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-modeling,1,DEFAULT,DEFAULT,SCENE_DEFAULT,MODELING,9e19a368d6cc11f3f05259e3fa2662c867ba99d15bcd320a4853d72a41190a01,True,314b43eeb796cf9d3c766cf849865df83e1b5339f63b7e01c543c7f11e10db30,REWRITE,BALANCED,NOT_APPLICABLE,NOT_REQUIRED,PENDING_EXTERNAL_REVIEW,PASS,,,U-05e9265c162b,U-d92f7920cc9c,U-88f91474a945,212,3,NO_CHANGE,9ae12364f598e42360d28d9e1680bd8fa3e39012d18043b6625cbbc90c146892,9ae12364f598e42360d28d9e1680bd8fa3e39012d18043b6625cbbc90c146892,,PASS,PASS,问题三分析保留了降维原因和后期统计判据，段落职责是说明模型简化的依据。,[]
U-88f91474a945,F00001,问题分析 / 问题四分析,1,71,75,5,MODELING,MODELING,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-modeling,1,DEFAULT,DEFAULT,SCENE_DEFAULT,MODELING,9e19a368d6cc11f3f05259e3fa2662c867ba99d15bcd320a4853d72a41190a01,True,3634b0011547cbb8afd6ef5ec589f6618766d6afb2e7cee701aa0fc72884db49,REWRITE,BALANCED,NOT_APPLICABLE,NOT_REQUIRED,PENDING_EXTERNAL_REVIEW,PASS,,,U-88f91474a945,U-05e9265c162b,U-deaaf69e6551,230,2,NO_CHANGE,25b739f8310fb1363c5478a19d66e7afa6b077be20b48abe0e1c9524de8130de,25b739f8310fb1363c5478a19d66e7afa6b077be20b48abe0e1c9524de8130de,,PASS,PASS,该段落中的条件句限定积分时长、步长和初值，保留其范围说明与数值判别职责。,[]
U-deaaf69e6551,F00001,问题分析 / 问题五分析,1,76,80,5,MODELING,MODELING,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-modeling,1,DEFAULT,DEFAULT,SCENE_DEFAULT,MODELING,9e19a368d6cc11f3f05259e3fa2662c867ba99d15bcd320a4853d72a41190a01,True,f71f37fb87a56ac4b9ac6c242e4bbdec1f2472b7ab27958b3cce555a9be26020,REWRITE,BALANCED,NOT_APPLICABLE,NOT_REQUIRED,PENDING_EXTERNAL_REVIEW,PASS,,,U-deaaf69e6551,U-88f91474a945,U-274fd3d47e04,196,2,NO_CHANGE,bbe3b06fc9e36932dad3a8eedc9d87c4889181d50b7ea0d755e9d9f3c7a48a1f,bbe3b06fc9e36932dad3a8eedc9d87c4889181d50b7ea0d755e9d9f3c7a48a1f,,PASS,PASS,问题五分析区分四类指标与赋权复核，原段承担情景评价范围说明。,[]
