unit_id,file_id,heading_path,part,start_line,end_line,line_count,scene,scene_requested,scene_document_prior,scene_routing_decision,scene_routing_policy_sha256,scene_routing_policy_revision,scene_routing_top_score,scene_routing_margin,voice_profile_id,voice_profile_revision,voice_profile_confidence,voice_profile_kind,voice_profile_source,voice_profile_binding_scene,voice_profile_sha256,voice_default_disclosure,mode,intensity,structural_plan_status,owner_chunk,chunk_binding_sha256,context_before_unit,context_after_unit,author_chars,protected_spans,status,hash_before,hash_after,diff_path,protected_hashes_ok,style_validation,notes
U-aea56e0ba880,F00001,(front-matter),1,1,77,77,RESEARCH,RESEARCH,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-research,1,DEFAULT,DEFAULT,SCENE_DEFAULT,RESEARCH,18887ba292c25e48d8f9fc598e1a33fa721d1fa8795b3d78f9964af0773b39e0,True,REWRITE,BALANCED,NOT_RUN,U-aea56e0ba880,9a58df551d0308c1c0d728fe691214b0a2b333eabab556c23679fc8c13d17b54,,U-bd48d0c34c9f,305,45,UNRESOLVED,105bf5de9c91dc7ec33bd0c830154d8dc2810ccbb1d858c7cfce7d5e635fc936,,,NOT_RUN,NOT_RUN,environment:TEX_MACRO_DEFINITION_UNSUPPORTED: TeX macro definitions cannot be authenticated statically
U-bd48d0c34c9f,F00001,研究边界、证据与处理方法,1,78,79,2,RESEARCH,RESEARCH,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-research,1,DEFAULT,DEFAULT,SCENE_DEFAULT,RESEARCH,18887ba292c25e48d8f9fc598e1a33fa721d1fa8795b3d78f9964af0773b39e0,True,REWRITE,BALANCED,NOT_RUN,U-bd48d0c34c9f,7b437716e1ef696dde67ef297d822a092e44f605c8303f8b34014b49ec4ba973,U-aea56e0ba880,U-f062b73e947d,0,1,SKIPPED_PROTECTED,b7c081dd1b4adcc3ad45937264ad6c5e829d5186e0c03c0389f5b738f20fa0ea,,,NOT_RUN,NOT_RUN,
U-f062b73e947d,F00001,研究边界、证据与处理方法 / 语料边界,1,80,111,32,RESEARCH,RESEARCH,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-research,1,DEFAULT,DEFAULT,SCENE_DEFAULT,RESEARCH,18887ba292c25e48d8f9fc598e1a33fa721d1fa8795b3d78f9964af0773b39e0,True,REWRITE,BALANCED,NOT_RUN,U-f062b73e947d,9b8f07574e210922bd4965eeb492421eb45c82f51468e1181f437971c7b4f012,U-bd48d0c34c9f,U-9b7c64ccea04,197,27,PENDING,38711f3111e47dc30b53409a4a8d97eaf217ba897bbfd86e9a91bdb6bc571a8d,,,NOT_RUN,NOT_RUN,
U-9b7c64ccea04,F00001,研究边界、证据与处理方法 / 页面识别与证据台账,1,112,129,18,RESEARCH,RESEARCH,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-research,1,DEFAULT,DEFAULT,SCENE_DEFAULT,RESEARCH,18887ba292c25e48d8f9fc598e1a33fa721d1fa8795b3d78f9964af0773b39e0,True,REWRITE,BALANCED,NOT_RUN,U-9b7c64ccea04,07547706533293ddc2f7c5b955069eb1a0c2809f1c7ccac4f4178486c0c2b6e6,U-f062b73e947d,U-9283609514e7,332,9,PENDING,7bc7620c9941c7f0d72af0afcc6c844c406639a9b4415fc92a2840e1c403a0cc,,,NOT_RUN,NOT_RUN,
U-9283609514e7,F00001,六年真题任务图谱与人员分工,1,130,131,2,RESEARCH,RESEARCH,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-research,1,DEFAULT,DEFAULT,SCENE_DEFAULT,RESEARCH,18887ba292c25e48d8f9fc598e1a33fa721d1fa8795b3d78f9964af0773b39e0,True,REWRITE,BALANCED,NOT_RUN,U-9283609514e7,68a67f43a9d288cf1688300739c3a3fd4408c61e418732726a63facde6a545f1,U-9b7c64ccea04,U-5fcea116d7e2,0,1,SKIPPED_PROTECTED,a801dc7c9ce2be4a5b22bac6b6817fa7a56dd6d15488a7357ddbaf5d2a0b2b21,,,NOT_RUN,NOT_RUN,
U-5fcea116d7e2,F00001,六年真题任务图谱与人员分工 / 十八道真题的训练定位,1,132,168,37,RESEARCH,RESEARCH,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-research,1,DEFAULT,DEFAULT,SCENE_DEFAULT,RESEARCH,18887ba292c25e48d8f9fc598e1a33fa721d1fa8795b3d78f9964af0773b39e0,True,REWRITE,BALANCED,NOT_RUN,U-5fcea116d7e2,96487e1b4442cf35f705ad86ca6254bd06215aea4f0e1859dbb95d759cbfb041,U-9283609514e7,U-11b03d92f32b,763,35,PENDING,4f2e1080d216de14c8bfe4c546adcd876f61801764a1856604425293e7382113,,,NOT_RUN,NOT_RUN,
U-11b03d92f32b,F00001,六年真题任务图谱与人员分工 / 四块学习结构,1,169,177,9,RESEARCH,RESEARCH,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-research,1,DEFAULT,DEFAULT,SCENE_DEFAULT,RESEARCH,18887ba292c25e48d8f9fc598e1a33fa721d1fa8795b3d78f9964af0773b39e0,True,REWRITE,BALANCED,NOT_RUN,U-11b03d92f32b,04f506129dd8ef5e3ff00a76e9fe207f885a0abaca04986b36f6259e3690119c,U-5fcea116d7e2,U-99bdd0611f14,156,2,PENDING,3f4ae6b5cffaafb719838b69aebcd416ba9e176850c67b2ce9afb48233006f68,,,NOT_RUN,NOT_RUN,
U-99bdd0611f14,F00001,理论知识学习笔记,1,178,179,2,RESEARCH,RESEARCH,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-research,1,DEFAULT,DEFAULT,SCENE_DEFAULT,RESEARCH,18887ba292c25e48d8f9fc598e1a33fa721d1fa8795b3d78f9964af0773b39e0,True,REWRITE,BALANCED,NOT_RUN,U-99bdd0611f14,fb75e298533846a98929e1706095f126ff789811af930c011db42d02e69dbbea,U-11b03d92f32b,U-d831499fe0fe,0,1,SKIPPED_PROTECTED,698ee52da61122fb7e84cf99b57e6ddcc65fd090410817a4d8af58d7e56f39e2,,,NOT_RUN,NOT_RUN,
U-d831499fe0fe,F00001,理论知识学习笔记 / 队长：机理、连续模型与数值实现,1,180,181,2,RESEARCH,RESEARCH,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-research,1,DEFAULT,DEFAULT,SCENE_DEFAULT,RESEARCH,18887ba292c25e48d8f9fc598e1a33fa721d1fa8795b3d78f9964af0773b39e0,True,REWRITE,BALANCED,NOT_RUN,U-d831499fe0fe,7e2a0bd8c7ee674592e3a5905de6546eeed6f123fb54e2d8c88d0deacf63e737,U-99bdd0611f14,U-dcac51b19b74,0,1,SKIPPED_PROTECTED,a783d3a31cb876d577a4e1308dc3f09ecf84c9340894d9e347dd9756a1192fed,,,NOT_RUN,NOT_RUN,
U-dcac51b19b74,F00001,理论知识学习笔记 / 队长：机理、连续模型与数值实现 / 覆盖内容、原理与求解步骤,1,182,207,26,RESEARCH,RESEARCH,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-research,1,DEFAULT,DEFAULT,SCENE_DEFAULT,RESEARCH,18887ba292c25e48d8f9fc598e1a33fa721d1fa8795b3d78f9964af0773b39e0,True,REWRITE,BALANCED,NOT_RUN,U-dcac51b19b74,2a44852de77fb23bfbc4ed9c975ff75eb76374de2b0b4d0dbe8e9a5bd94168fb,U-d831499fe0fe,U-4bbf851f359b,489,10,PENDING,d803997805f65e52e7fb6523c345d7bd10ad7d9ae631a2326f6b7b890f94867e,,,NOT_RUN,NOT_RUN,
