year,problem,paper,evidence_type,section,category,page,line,confidence,model_chain,writing_feature,source_text,snippet,original_position
2020,A,A070,paper_overview,,论文总览,1,1,0.735605,微分方程@p1 -> 有限元@p1 -> 有限差分@p1 -> 多目标@p1 -> 模拟退火@p1 -> 0-1@p3 -> 守恒@p7,连接词=首先:2、其次:2、进一步:1、由此:1、可知:3、说明:1、验证:5、为了:1、因此:5；页行中位数=44.0；段落候选中位数=6.0；图表候选=23；公式行候选=198；标题候选=75,中国大学生仕统,中国大学生仕统 / 中国大学生仕统 / 中国大学生在,2020/A070.pdf#page=1:line=1
2020,A,A070,section_heading,摘要,摘要,1,5,0.666312,微分方程@p1 -> 有限元@p1 -> 有限差分@p1 -> 多目标@p1 -> 模拟退火@p1 -> 0-1@p3 -> 守恒@p7,连接词=首先:2、其次:2、进一步:1、由此:1、可知:3、说明:1、验证:5、为了:1、因此:5；页行中位数=44.0；段落候选中位数=6.0；图表候选=23；公式行候选=198；标题候选=75,摘要,中国大学生在 / 炉温曲线的机理建模与优化设计 / 摘要 / 本文主要研究回焊炉各温区温度和传送带速度对炉温曲线的影响，建立了基 / 于热传导方程与牛顿冷却定律的温度分布模型。,2020/A070.pdf#page=1:line=5
2020,A,A070,section_heading,问题重述,问题重述,2,4,0.723537,微分方程@p1 -> 有限元@p1 -> 有限差分@p1 -> 多目标@p1 -> 模拟退火@p1 -> 0-1@p3 -> 守恒@p7,连接词=首先:2、其次:2、进一步:1、由此:1、可知:3、说明:1、验证:5、为了:1、因此:5；页行中位数=44.0；段落候选中位数=6.0；图表候选=23；公式行候选=198；标题候选=75,1.问题重述,中国大学生仕统 / 中国大学生在 / 1.问题重述 / 1.1问题的背景 / 在过去的几十年里，电子产品行业取得了飞速的发展。随着电子产品的竞,2020/A070.pdf#page=2:line=4
2020,A,A070,section_heading,问题分析,问题分析,2,26,0.730537,微分方程@p1 -> 有限元@p1 -> 有限差分@p1 -> 多目标@p1 -> 模拟退火@p1 -> 0-1@p3 -> 守恒@p7,连接词=首先:2、其次:2、进一步:1、由此:1、可知:3、说明:1、验证:5、为了:1、因此:5；页行中位数=44.0；段落候选中位数=6.0；图表候选=23；公式行候选=198；标题候选=75,2.问题分析,及传送带过炉速度，并给出相应的指标值。 / 中国大学生在线 / 2.问题分析 / 问题一：根据温度变化规律建立数学模型，目前，有关焊接区域的温度变 / 化规律的研究大多是基于数据驱动的控制和调整，文献[2-3]是基于PID控制原,2020/A070.pdf#page=2:line=26
2020,A,A070,section_heading,模型假设,模型假设,3,8,0.791448,微分方程@p1 -> 有限元@p1 -> 有限差分@p1 -> 多目标@p1 -> 模拟退火@p1 -> 0-1@p3 -> 守恒@p7,连接词=首先:2、其次:2、进一步:1、由此:1、可知:3、说明:1、验证:5、为了:1、因此:5；页行中位数=44.0；段落候选中位数=6.0；图表候选=23；公式行候选=198；标题候选=75,3.模型假设,性指标，且该问题属于多目标优化问题，可通过动态综合加权法，将多目标函 / 数转化为单目标函数。 / 3.模型假设 / （1）不考虑空气对流。 / （3）当小温区之间的温度差较小时，间隙温度在两边温度不等的间隙中随位移,2020/A070.pdf#page=3:line=8
2020,A,A070,section_heading,符号说明,符号说明,3,15,0.762534,微分方程@p1 -> 有限元@p1 -> 有限差分@p1 -> 多目标@p1 -> 模拟退火@p1 -> 0-1@p3 -> 守恒@p7,连接词=首先:2、其次:2、进一步:1、由此:1、可知:3、说明:1、验证:5、为了:1、因此:5；页行中位数=44.0；段落候选中位数=6.0；图表候选=23；公式行候选=198；标题候选=75,4.符号说明,（4）当小温区之间的温度较大时，考虑小温区温度之间的影响。 / （5）炉前以及炉后区域中环境温度随空间距离平缓变化最终趋近于室温。 / 4.符号说明 / 符号 / 含义,2020/A070.pdf#page=3:line=15
2020,A,A070,section_heading,模型建立,模型建立,4,4,0.855039,微分方程@p1 -> 有限元@p1 -> 有限差分@p1 -> 多目标@p1 -> 模拟退火@p1 -> 0-1@p3 -> 守恒@p7,连接词=首先:2、其次:2、进一步:1、由此:1、可知:3、说明:1、验证:5、为了:1、因此:5；页行中位数=44.0；段落候选中位数=6.0；图表候选=23；公式行候选=198；标题候选=75,5.模型的建立和求解,中国大学生仕药 / 中国大学生仕药 / 5.模型的建立和求解 / 5.1建模前的准备 / 5.1.1实际问题的数学化处理,2020/A070.pdf#page=4:line=4
2020,A,A070,section_heading,模型求解,模型求解,8,10,0.858424,微分方程@p1 -> 有限元@p1 -> 有限差分@p1 -> 多目标@p1 -> 模拟退火@p1 -> 0-1@p3 -> 守恒@p7,连接词=首先:2、其次:2、进一步:1、由此:1、可知:3、说明:1、验证:5、为了:1、因此:5；页行中位数=44.0；段落候选中位数=6.0；图表候选=23；公式行候选=198；标题候选=75,5.2.4问题一模型求解,(18) / 其中，u(t)为t时刻系统的温度，uar()为t时刻系统外界温度，k为冷却系数。 / 5.2.4问题一模型求解 / 生在线 / 由于热传导方程模型和牛顿冷却定律模型中都存在未知参数，故需要先确定,2020/A070.pdf#page=8:line=10
2020,A,A070,section_heading,结果分析,结果分析,10,30,0.89882,微分方程@p1 -> 有限元@p1 -> 有限差分@p1 -> 多目标@p1 -> 模拟退火@p1 -> 0-1@p3 -> 守恒@p7,连接词=首先:2、其次:2、进一步:1、由此:1、可知:3、说明:1、验证:5、为了:1、因此:5；页行中位数=44.0；段落候选中位数=6.0；图表候选=23；公式行候选=198；标题候选=75,②热传导方程模型最优参数求解结果,中国大学生在线 / 中国大学生在线 / ②热传导方程模型最优参数求解结果 / 根据①中的求解方法，通过matlab编程求解，可得到结果如下表所示： / 表1热传导方程最优参数,2020/A070.pdf#page=10:line=30
2020,A,A070,section_heading,模型检验,模型检验,1,54,0.934784,微分方程@p1 -> 有限元@p1 -> 有限差分@p1 -> 多目标@p1 -> 模拟退火@p1 -> 0-1@p3 -> 守恒@p7,连接词=首先:2、其次:2、进一步:1、由此:1、可知:3、说明:1、验证:5、为了:1、因此:5；页行中位数=44.0；段落候选中位数=6.0；图表候选=23；公式行候选=198；标题候选=75,最后给出了建模过程的误差分析和结果检验，本文结论正确合理，具有一,231.844°C / 264.999°C / 最后给出了建模过程的误差分析和结果检验，本文结论正确合理，具有一 / 定的应用价值和普适性。 / 关键词：热传导方程；牛顿冷却定律；有限元差分法；最小二乘法；优化模型；,2020/A070.pdf#page=1:line=54
2020,A,A070,section_heading,模型评价,模型评价,24,2,0.968607,微分方程@p1 -> 有限元@p1 -> 有限差分@p1 -> 多目标@p1 -> 模拟退火@p1 -> 0-1@p3 -> 守恒@p7,连接词=首先:2、其次:2、进一步:1、由此:1、可知:3、说明:1、验证:5、为了:1、因此:5；页行中位数=44.0；段落候选中位数=6.0；图表候选=23；公式行候选=198；标题候选=75,7 模型 评价,图 26 0.1*C 时 内 能 变化 曲线 图 27 0.0008*C 时 的 内 能 变化 曲线 / 7 模型 评价 / BARA: / C1) 热传导 方程 模型 ;,2020/A070.pdf#page=24:line=2
2020,A,A070,section_heading,改进方案,改进方案,24,19,0.965924,微分方程@p1 -> 有限元@p1 -> 有限差分@p1 -> 多目标@p1 -> 模拟退火@p1 -> 0-1@p3 -> 守恒@p7,连接词=首先:2、其次:2、进一步:1、由此:1、可知:3、说明:1、验证:5、为了:1、因此:5；页行中位数=44.0；段落候选中位数=6.0；图表候选=23；公式行候选=198；标题候选=75,8 模型 推广 与 改进,基于 牛顿 冷却 定律 模型 未 考虑 到 电路 板 在 回 焊 炉 中 温度 在 电路 板 厚 度 上 的 / 分 布 ， 对 于 厚度 较 厚 的 电路 板 在 回 焊 炉 中 ， 模 型 过 于 简化 。 / 8 模型 推广 与 改进 / 本 文 在 考虑 温度 在 两 边 温度 不 等 的 间隙 中 的 分 布 时 认为 ， 温 度 随 空间 位 置 线 / 性 变化 ， 如 图 所 示 ， 但 在 间 隐 与 温 区 边界 上 ， 温 度 连 续 但 不 可 导 。 故 对 温 区 与 间,2020/A070.pdf#page=24:line=19
