year,problem,paper,pages,section_sequence,model_chain,model_chain_status,writing_feature,original_position,unconfirmed_pages,摘要,问题分析,模型求解,结果解释,模型检验,灵敏度分析,模型评价,参考文献,附录
2020,A,A070,34,摘要 -> 模型检验 -> 问题重述 -> 问题分析 -> 模型假设 -> 符号说明 -> 模型建立 -> 模型求解 -> 结果分析 -> 模型评价 -> 改进方案 -> 参考文献,微分方程、有限元、有限差分、多目标、模拟退火、0-1、守恒,已定位,连接词=首先:2、其次:2、进一步:1、由此:1、可知:3、说明:1、验证:5、为了:1、因此:5；页行中位数=44.0；段落候选中位数=6.0；图表候选=23；公式行候选=198；标题候选=75,2020/A070.pdf#page=1:line=1,18,p.1,p.2,p.8,p.10,p.1,未检出（严格 OCR 阈值下不补字）,p.24,p.25,未检出（严格 OCR 阈值下不补字）
2020,A,A147,89,摘要 -> 问题重述 -> 问题分析 -> 模型建立 -> 符号说明 -> 模型求解 -> 结果分析 -> 灵敏度分析 -> 模型评价 -> 参考文献 -> 附录,微分方程、多目标、守恒、0-1、ODE,已定位,连接词=首先:8、其次:5、说明:3、验证:1、因此:2；页行中位数=47；段落候选中位数=0；图表候选=18；公式行候选=1272；标题候选=70,2020/A147.pdf#page=1:line=1,44,p.1,p.3,p.12,p.15,未检出（严格 OCR 阈值下不补字）,p.16,p.25,p.26,p.27
2020,A,A195,42,摘要 -> 模型求解 -> 问题重述 -> 模型假设 -> 符号说明 -> 问题分析 -> 模型建立 -> 模型检验 -> 参考文献 -> 附录,有限差分、多目标、遗传算法、PDE、偏微分方程、微分方程、有限元、ODE、线性规划、非线性规划、0-1,已定位,连接词=首先:1、进一步:1、为了:1、从而:1、因此:5；页行中位数=38.0；段落候选中位数=3.0；图表候选=21；公式行候选=428；标题候选=59,2020/A195.pdf#page=1:line=1,25,p.1,p.4,p.1,未检出（严格 OCR 阈值下不补字）,p.9,未检出（严格 OCR 阈值下不补字）,未检出（严格 OCR 阈值下不补字）,p.21,p.22
2020,A,A212,26,摘要 -> 模型建立 -> 模型评价 -> 改进方案 -> 问题重述 -> 问题分析 -> 模型求解 -> 模型假设 -> 符号说明 -> 结果分析 -> 参考文献 -> 附录,守恒、微分方程、多目标、模拟退火、线性规划、非线性规划,已定位,连接词=首先:7、进一步:2、由此:1、说明:2、为了:2、从而:8、因此:3；页行中位数=48.5；段落候选中位数=6.0；图表候选=14；公式行候选=286；标题候选=50,2020/A212.pdf#page=1:line=1,13,p.1,p.3,p.3,p.14,未检出（严格 OCR 阈值下不补字）,未检出（严格 OCR 阈值下不补字）,p.1,p.17,p.18
2020,B,B078,50,摘要 -> 灵敏度分析 -> 改进方案 -> 问题重述 -> 问题分析 -> 模型求解 -> 模型假设 -> 符号说明 -> 模型建立 -> 结果分析 -> 模型评价 -> 参考文献,蒙特卡洛、最短路、Floyd、ODE,已定位,连接词=首先:9、由此:2、说明:1、验证:2、相比:1、为了:1、因此:41；页行中位数=45.0；段落候选中位数=8.0；图表候选=8；公式行候选=517；标题候选=49,2020/B078.pdf#page=1:line=1,19,p.1,p.2,p.3,p.9,未检出（严格 OCR 阈值下不补字）,p.1,p.21,p.22,未检出（严格 OCR 阈值下不补字）
2020,B,B108,104,摘要 -> 灵敏度分析 -> 问题重述 -> 符号说明 -> 模型求解 -> 结果分析 -> 参考文献 -> 附录,最短路,已定位,连接词=首先:5、其次:1、进一步:4、由此:3、可知:2、表明:1、说明:2、验证:6、为了:7、因此:26；页行中位数=45.5；段落候选中位数=2.0；图表候选=17；公式行候选=1056；标题候选=78,2020/B108.pdf#page=1:line=1,15,p.1,未检出（严格 OCR 阈值下不补字）,p.10,p.13,未检出（严格 OCR 阈值下不补字）,p.1,未检出（严格 OCR 阈值下不补字）,p.29,p.29
2020,B,B125,34,摘要 -> 问题重述 -> 问题分析 -> 符号说明 -> 模型建立 -> 模型求解 -> 模型评价 -> 参考文献 -> 附录,Floyd、最短路,已定位,连接词=首先:2、验证:3、相比:1、为了:1、从而:1、因此:4；页行中位数=32.5；段落候选中位数=6.0；图表候选=9；公式行候选=185；标题候选=44,2020/B125.pdf#page=1:line=1,11,p.1,p.3,p.4,未检出（严格 OCR 阈值下不补字）,未检出（严格 OCR 阈值下不补字）,未检出（严格 OCR 阈值下不补字）,p.26,p.26,p.27
2020,B,B175,39,摘要 -> 问题重述 -> 问题分析 -> 模型假设 -> 模型建立 -> 符号说明 -> 结果分析 -> 模型求解 -> 改进方案 -> 参考文献 -> 附录,ODE、最短路,已定位,连接词=首先:5、由此:5、可知:2、说明:2、验证:6、为了:7、从而:2、因此:13；页行中位数=46；段落候选中位数=9；图表候选=16；公式行候选=339；标题候选=98,2020/B175.pdf#page=1:line=1,2,p.1,p.3,p.12,p.7,未检出（严格 OCR 阈值下不补字）,未检出（严格 OCR 阈值下不补字）,未检出（严格 OCR 阈值下不补字）,p.28,p.29
2020,C,C109,77,摘要 -> 结果分析 -> 问题分析 -> 模型建立 -> 模型假设 -> 符号说明 -> 模型求解 -> 模型评价 -> 改进方案 -> 参考文献,多目标、线性规划、非线性规划、回归、0-1、AHP、层次分析、ODE、XGBoost、Logistic、VAR,已定位,连接词=首先:8、进一步:12、由此:2、可知:2、表明:2、说明:4、验证:1、为了:4、从而:5、因此:24；页行中位数=48；段落候选中位数=6；图表候选=31；公式行候选=445；标题候选=935,2020/C109.pdf#page=1:line=1,15,p.1,p.2,p.12,p.1,未检出（严格 OCR 阈值下不补字）,未检出（严格 OCR 阈值下不补字）,p.28,p.30,未检出（严格 OCR 阈值下不补字）
2020,C,C142,45,摘要 -> 模型建立 -> 问题重述 -> 问题分析 -> 符号说明 -> 模型假设 -> 模型求解 -> 改进方案 -> 灵敏度分析 -> 模型评价 -> 参考文献 -> 附录,线性规划、遗传算法、非线性规划、主成分、Logistic、回归、ODE、VAR、PCA,已定位,连接词=首先:4、其次:1、进一步:5、可知:2、说明:3、相比:1、为了:1、因此:10；页行中位数=46；段落候选中位数=8；图表候选=23；公式行候选=417；标题候选=55,2020/C142.pdf#page=1:line=1,23,p.1,p.2,p.13,未检出（严格 OCR 阈值下不补字）,未检出（严格 OCR 阈值下不补字）,p.25,p.27,p.28,p.28
