pair_id,rater_id,rater_kind,naturalness,judgment_trajectory,specificity,content_density,semantic_fidelity,notes
abstract-q1,M1,model,B,B,TIE,A,A,"B adds a clearer recovery interpretation; A is tighter and closer to the visible result wording."
abstract-q2,M1,model,B,B,A,A,TIE,"B reads more directly; A preserves more explicit model and scenario detail."
abstract-long-dynamics,M1,model,B,B,B,B,B,"B retains the 75-group test and gives a clearer model-to-result progression; A contains visibly damaged counts."
analysis-data-scale,M1,model,B,B,B,TIE,B,"B explicitly states differentiated use of the two observation scales."
analysis-robustness-design,M1,model,TIE,TIE,TIE,TIE,TIE,"The two visible passages are identical."
result-long-horizon-boundary,M1,model,B,B,B,TIE,B,"B states the expanded test result more readably, including 75 combinations and 5 initial-value groups."
policy-pollution-invasion,M1,model,B,B,B,B,A,"B is more direct and operational; A is more cautious and stays closer to the stated model-supported scope."
limitation-extrapolation,M1,model,B,B,B,B,B,"B clearly limits current use to directional comparison and specifies the data needed for stronger extrapolation."
abstract-q1,M2,model,B,B,B,B,TIE,"B has clearer problem framing and explicit scenario-to-result linkage; A ends with a compressed fragment."
abstract-q2,M2,model,B,B,TIE,B,TIE,"B is more concise and readable; both preserve the same listed scenarios, values, and conclusion."
abstract-long-dynamics,M2,model,B,B,B,B,TIE,"B makes the model setup, parameter progression, and test result sequence explicit; both retain the same numerical claims."
analysis-data-scale,M2,model,B,B,B,B,TIE,"B explicitly states that the two observations require differentiated use; the underlying scale mapping remains the same."
analysis-robustness-design,M2,model,TIE,TIE,TIE,TIE,TIE,"A and B are visibly identical, including robustness conditions and the conservative conclusion."
result-long-horizon-boundary,M2,model,B,B,TIE,B,TIE,"B supplies a clearer transition and readable spacing while retaining the same time horizons, values, and 6.7% result."
policy-pollution-invasion,M2,model,B,B,B,B,A,"B is more direct and actionable, but adds figurative wording about opening the recovery door; A states the model-support limitation more conservatively."
limitation-extrapolation,M2,model,B,B,B,B,TIE,"B states current applicability and required future data in a more direct progression; both preserve the same extrapolation limits."
