unit_id,file_id,heading_path,part,start_line,end_line,line_count,scene,scene_requested,scene_document_prior,scene_routing_decision,scene_routing_policy_sha256,scene_routing_policy_revision,scene_routing_top_score,scene_routing_margin,voice_profile_id,voice_profile_revision,voice_profile_confidence,voice_profile_kind,voice_profile_source,voice_profile_binding_scene,voice_profile_sha256,voice_default_disclosure,mode,intensity,structural_plan_status,owner_chunk,chunk_binding_sha256,context_before_unit,context_after_unit,author_chars,protected_spans,status,hash_before,hash_after,diff_path,protected_hashes_ok,style_validation,notes
U-ec03cc4ec8b7,F00001,(front-matter),1,1,64,64,RESEARCH,RESEARCH,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-research,1,DEFAULT,DEFAULT,SCENE_DEFAULT,RESEARCH,18887ba292c25e48d8f9fc598e1a33fa721d1fa8795b3d78f9964af0773b39e0,True,REWRITE,BALANCED,NOT_RUN,U-ec03cc4ec8b7,e27cec1af7ad2098183376e3b556455ef5ba2c1be9651e7766649ad23d8f5dc9,,U-9d7485a4477f,305,33,PENDING,0799b21cd80a25383f227749c1f8a153158b79d188c721bf49e008061d2951be,,,NOT_RUN,NOT_RUN,
U-9d7485a4477f,F00001,研究边界、证据与处理方法,1,65,66,2,RESEARCH,RESEARCH,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-research,1,DEFAULT,DEFAULT,SCENE_DEFAULT,RESEARCH,18887ba292c25e48d8f9fc598e1a33fa721d1fa8795b3d78f9964af0773b39e0,True,REWRITE,BALANCED,NOT_RUN,U-9d7485a4477f,6f4485406322a0a06cd658450a04e694aec5a9315875c9ce34d7fbdfc446a715,U-ec03cc4ec8b7,U-355c78162fa6,0,1,SKIPPED_PROTECTED,b7c081dd1b4adcc3ad45937264ad6c5e829d5186e0c03c0389f5b738f20fa0ea,,,NOT_RUN,NOT_RUN,
U-355c78162fa6,F00001,研究边界、证据与处理方法 / 语料边界,1,67,99,33,RESEARCH,RESEARCH,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-research,1,DEFAULT,DEFAULT,SCENE_DEFAULT,RESEARCH,18887ba292c25e48d8f9fc598e1a33fa721d1fa8795b3d78f9964af0773b39e0,True,REWRITE,BALANCED,NOT_RUN,U-355c78162fa6,a49dec0edaffa79c9424084120befc268f40d265f8b4d01396e73c7d185dde4f,U-9d7485a4477f,U-fdb9c9998d0c,213,28,PENDING,80ef51b01c0cadcea6fd2d8bccad67e53cf2fd89f3a6f792573c4684ca1fa390,,,NOT_RUN,NOT_RUN,
U-fdb9c9998d0c,F00001,研究边界、证据与处理方法 / 页面识别与证据台账,1,100,119,20,RESEARCH,RESEARCH,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-research,1,DEFAULT,DEFAULT,SCENE_DEFAULT,RESEARCH,18887ba292c25e48d8f9fc598e1a33fa721d1fa8795b3d78f9964af0773b39e0,True,REWRITE,BALANCED,NOT_RUN,U-fdb9c9998d0c,43abe4cf6040d2741ff98bee8ba4a1d3bf71485625dfa51ee46990999e1d3725,U-355c78162fa6,U-55219e145dc2,413,3,PENDING,b98a646e73554d80a88f6163f3d51911ad1a847195e6d3560991028b0fb100c2,,,NOT_RUN,NOT_RUN,
U-55219e145dc2,F00001,六年真题任务图谱与人员分工,1,120,121,2,RESEARCH,RESEARCH,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-research,1,DEFAULT,DEFAULT,SCENE_DEFAULT,RESEARCH,18887ba292c25e48d8f9fc598e1a33fa721d1fa8795b3d78f9964af0773b39e0,True,REWRITE,BALANCED,NOT_RUN,U-55219e145dc2,b2b82e09db0df5058c53de3774b037cd961fbe95d24feff34077b7bc7b00327e,U-fdb9c9998d0c,U-f70551e0ee47,0,1,SKIPPED_PROTECTED,a801dc7c9ce2be4a5b22bac6b6817fa7a56dd6d15488a7357ddbaf5d2a0b2b21,,,NOT_RUN,NOT_RUN,
U-f70551e0ee47,F00001,六年真题任务图谱与人员分工 / 十八道真题的训练定位,1,122,158,37,RESEARCH,RESEARCH,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-research,1,DEFAULT,DEFAULT,SCENE_DEFAULT,RESEARCH,18887ba292c25e48d8f9fc598e1a33fa721d1fa8795b3d78f9964af0773b39e0,True,REWRITE,BALANCED,NOT_RUN,U-f70551e0ee47,f9db994c5baf4e80c0268c21bb1caf0ce17e199ddb0089fd5d73e22328d7c842,U-55219e145dc2,U-3b8761575436,802,35,PENDING,08fbf22042e6927deed11e74f9c0fe8e8438311a41586d29b2f43b6337d488a1,,,NOT_RUN,NOT_RUN,
U-3b8761575436,F00001,六年真题任务图谱与人员分工 / 四块学习结构,1,159,167,9,RESEARCH,RESEARCH,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-research,1,DEFAULT,DEFAULT,SCENE_DEFAULT,RESEARCH,18887ba292c25e48d8f9fc598e1a33fa721d1fa8795b3d78f9964af0773b39e0,True,REWRITE,BALANCED,NOT_RUN,U-3b8761575436,2e645691bb3a1f37ce0d968209488a67eca081424b1c542e6613a6242551b0cb,U-f70551e0ee47,U-5bb5b3dc07e7,156,2,PENDING,3f4ae6b5cffaafb719838b69aebcd416ba9e176850c67b2ce9afb48233006f68,,,NOT_RUN,NOT_RUN,
U-5bb5b3dc07e7,F00001,理论知识学习笔记,1,168,169,2,RESEARCH,RESEARCH,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-research,1,DEFAULT,DEFAULT,SCENE_DEFAULT,RESEARCH,18887ba292c25e48d8f9fc598e1a33fa721d1fa8795b3d78f9964af0773b39e0,True,REWRITE,BALANCED,NOT_RUN,U-5bb5b3dc07e7,46fcf1bff72a4bb97432f9a9d37eff505bac9d2488631c69db3c3f64780e2cea,U-3b8761575436,U-f1ef2a934b67,0,1,SKIPPED_PROTECTED,698ee52da61122fb7e84cf99b57e6ddcc65fd090410817a4d8af58d7e56f39e2,,,NOT_RUN,NOT_RUN,
U-f1ef2a934b67,F00001,理论知识学习笔记 / 队长：机理、连续模型与数值实现,1,170,171,2,RESEARCH,RESEARCH,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-research,1,DEFAULT,DEFAULT,SCENE_DEFAULT,RESEARCH,18887ba292c25e48d8f9fc598e1a33fa721d1fa8795b3d78f9964af0773b39e0,True,REWRITE,BALANCED,NOT_RUN,U-f1ef2a934b67,f4b697ee0c5048d647edd4cd64828a592018c64cb158486172e2aacd1e3a7173,U-5bb5b3dc07e7,U-c9ff48d072e4,0,1,SKIPPED_PROTECTED,a783d3a31cb876d577a4e1308dc3f09ecf84c9340894d9e347dd9756a1192fed,,,NOT_RUN,NOT_RUN,
U-c9ff48d072e4,F00001,理论知识学习笔记 / 队长：机理、连续模型与数值实现 / 覆盖内容、原理与求解步骤,1,172,197,26,RESEARCH,RESEARCH,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-research,1,DEFAULT,DEFAULT,SCENE_DEFAULT,RESEARCH,18887ba292c25e48d8f9fc598e1a33fa721d1fa8795b3d78f9964af0773b39e0,True,REWRITE,BALANCED,NOT_RUN,U-c9ff48d072e4,1ece1318cd7fbe10d88fdf78ace85676f5c7e3fe794fc116b3d5211201c621c1,U-f1ef2a934b67,U-c5f1968f4bc4,489,10,PENDING,d803997805f65e52e7fb6523c345d7bd10ad7d9ae631a2326f6b7b890f94867e,,,NOT_RUN,NOT_RUN,
