unit_id,file_id,heading_path,part,start_line,end_line,line_count,scene,scene_requested,scene_document_prior,scene_routing_decision,scene_routing_policy_sha256,scene_routing_policy_revision,scene_routing_top_score,scene_routing_margin,voice_profile_id,voice_profile_revision,voice_profile_confidence,voice_profile_kind,voice_profile_source,voice_profile_binding_scene,voice_profile_sha256,voice_default_disclosure,mode,intensity,structural_plan_status,owner_chunk,chunk_binding_sha256,context_before_unit,context_after_unit,author_chars,protected_spans,status,hash_before,hash_after,diff_path,protected_hashes_ok,style_validation,notes
U-d873a8c65c57,F00001,(front-matter),1,1,34,34,MODELING,MODELING,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-modeling,1,DEFAULT,DEFAULT,SCENE_DEFAULT,MODELING,9e19a368d6cc11f3f05259e3fa2662c867ba99d15bcd320a4853d72a41190a01,True,REWRITE,BALANCED,NOT_RUN,U-d873a8c65c57,88bfdf6380903a4b213482a6dc3eef504a01f70a1f0b05b3851091067a4d205e,,U-b1bac710ec42,877,32,UNRESOLVED,26f5bf418007be4e111da689517cd7da85bfd3978f426797f5441c4f1299893d,,,NOT_RUN,NOT_RUN,environment:TEX_MACRO_DEFINITION_UNSUPPORTED: TeX macro definitions cannot be authenticated statically
U-b1bac710ec42,F00001,问题重述,1,35,49,15,MODELING,MODELING,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-modeling,1,DEFAULT,DEFAULT,SCENE_DEFAULT,MODELING,9e19a368d6cc11f3f05259e3fa2662c867ba99d15bcd320a4853d72a41190a01,True,REWRITE,BALANCED,NOT_RUN,U-b1bac710ec42,c701f08cb84ec836b282469ef5d07f10991e56c677eadd18e0a63aa55c79ad6e,U-d873a8c65c57,U-1e2a8a1cf6bc,694,13,PENDING,617fa5c9455478a20c580bb58a557b07a3213f056bc00241f50374220910badd,,,NOT_RUN,NOT_RUN,
U-1e2a8a1cf6bc,F00001,问题分析,1,50,50,1,MODELING,MODELING,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-modeling,1,DEFAULT,DEFAULT,SCENE_DEFAULT,MODELING,9e19a368d6cc11f3f05259e3fa2662c867ba99d15bcd320a4853d72a41190a01,True,REWRITE,BALANCED,NOT_RUN,U-1e2a8a1cf6bc,423af9f472339504ca25bd7a4eaea62fe92e6ede455f4f20d83c77f881f25023,U-b1bac710ec42,U-3644a855b083,0,1,SKIPPED_PROTECTED,f38a4f8ae177bb27b87de336d6695787bbae53ed1f7aa24b5b457f09f046c0db,,,NOT_RUN,NOT_RUN,
U-3644a855b083,F00001,问题分析 / 总体分析,1,51,55,5,MODELING,MODELING,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-modeling,1,DEFAULT,DEFAULT,SCENE_DEFAULT,MODELING,9e19a368d6cc11f3f05259e3fa2662c867ba99d15bcd320a4853d72a41190a01,True,REWRITE,BALANCED,NOT_RUN,U-3644a855b083,ddef9b48710d2693ed9ba8a79209e41e86b79d3981442962e3a18b52afab1e29,U-1e2a8a1cf6bc,U-c530201b41a9,250,4,PENDING,2d9277b402d9a98a9e62e4baff893aec4262f1dd6bb679d7357fbca610952a31,,,NOT_RUN,NOT_RUN,
U-c530201b41a9,F00001,问题分析 / 问题一分析,1,56,60,5,MODELING,MODELING,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-modeling,1,DEFAULT,DEFAULT,SCENE_DEFAULT,MODELING,9e19a368d6cc11f3f05259e3fa2662c867ba99d15bcd320a4853d72a41190a01,True,REWRITE,BALANCED,NOT_RUN,U-c530201b41a9,c1081574d47b068444274d0ebd59f0225d9d152e891b025a4badc9a089826c92,U-3644a855b083,U-d92f7920cc9c,198,6,PENDING,4e6042c171e7f2d38f5648fc2340249fff711739bd9ede2fe2bcb98029d2054e,,,NOT_RUN,NOT_RUN,
U-d92f7920cc9c,F00001,问题分析 / 问题二分析,1,61,65,5,MODELING,MODELING,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-modeling,1,DEFAULT,DEFAULT,SCENE_DEFAULT,MODELING,9e19a368d6cc11f3f05259e3fa2662c867ba99d15bcd320a4853d72a41190a01,True,REWRITE,BALANCED,NOT_RUN,U-d92f7920cc9c,f7532a1973afa2406d73ba8fd60fb736249587cddba502babf67b6cee891ab95,U-c530201b41a9,U-05e9265c162b,206,1,PENDING,df3c97eba9f9a7b49dc8ec069a9a8f01711d7239101961e211966a3ad64a30b0,,,NOT_RUN,NOT_RUN,
U-05e9265c162b,F00001,问题分析 / 问题三分析,1,66,70,5,MODELING,MODELING,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-modeling,1,DEFAULT,DEFAULT,SCENE_DEFAULT,MODELING,9e19a368d6cc11f3f05259e3fa2662c867ba99d15bcd320a4853d72a41190a01,True,REWRITE,BALANCED,NOT_RUN,U-05e9265c162b,314b43eeb796cf9d3c766cf849865df83e1b5339f63b7e01c543c7f11e10db30,U-d92f7920cc9c,U-88f91474a945,212,3,PENDING,9ae12364f598e42360d28d9e1680bd8fa3e39012d18043b6625cbbc90c146892,,,NOT_RUN,NOT_RUN,
U-88f91474a945,F00001,问题分析 / 问题四分析,1,71,75,5,MODELING,MODELING,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-modeling,1,DEFAULT,DEFAULT,SCENE_DEFAULT,MODELING,9e19a368d6cc11f3f05259e3fa2662c867ba99d15bcd320a4853d72a41190a01,True,REWRITE,BALANCED,NOT_RUN,U-88f91474a945,3634b0011547cbb8afd6ef5ec589f6618766d6afb2e7cee701aa0fc72884db49,U-05e9265c162b,U-deaaf69e6551,230,2,PENDING,25b739f8310fb1363c5478a19d66e7afa6b077be20b48abe0e1c9524de8130de,,,NOT_RUN,NOT_RUN,
U-deaaf69e6551,F00001,问题分析 / 问题五分析,1,76,80,5,MODELING,MODELING,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-modeling,1,DEFAULT,DEFAULT,SCENE_DEFAULT,MODELING,9e19a368d6cc11f3f05259e3fa2662c867ba99d15bcd320a4853d72a41190a01,True,REWRITE,BALANCED,NOT_RUN,U-deaaf69e6551,f71f37fb87a56ac4b9ac6c242e4bbdec1f2472b7ab27958b3cce555a9be26020,U-88f91474a945,U-274fd3d47e04,196,2,PENDING,bbe3b06fc9e36932dad3a8eedc9d87c4889181d50b7ea0d755e9d9f3c7a48a1f,,,NOT_RUN,NOT_RUN,
U-274fd3d47e04,F00001,模型假设,1,81,90,10,MODELING,MODELING,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-modeling,1,DEFAULT,DEFAULT,SCENE_DEFAULT,MODELING,9e19a368d6cc11f3f05259e3fa2662c867ba99d15bcd320a4853d72a41190a01,True,REWRITE,BALANCED,NOT_RUN,U-274fd3d47e04,d740061ee9d42f4b848b3cb8d115c0531ba86b08ecc57730c64dedee7249ceb2,U-deaaf69e6551,U-aa70d7ac67ab,203,8,PENDING,074c4feaadf74567cc3311d15b59bfdb324efa6a051899a69d9247e93b378252,,,NOT_RUN,NOT_RUN,
U-aa70d7ac67ab,F00001,符号说明,1,91,114,24,MODELING,MODELING,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-modeling,1,DEFAULT,DEFAULT,SCENE_DEFAULT,MODELING,9e19a368d6cc11f3f05259e3fa2662c867ba99d15bcd320a4853d72a41190a01,True,REWRITE,BALANCED,NOT_RUN,U-aa70d7ac67ab,730055177f2bbdf87d4709579ce41054fe32feb9bef5e66e998b43099c4b6d91,U-274fd3d47e04,U-1b6faf36fb6c,212,37,PENDING,15775acd40c18d2ce3c4debf7b9f8d5dac6ffa34c1b00bcb007c3320930ef192,,,NOT_RUN,NOT_RUN,
U-1b6faf36fb6c,F00001,问题一的模型建立与求解,1,115,115,1,MODELING,MODELING,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-modeling,1,DEFAULT,DEFAULT,SCENE_DEFAULT,MODELING,9e19a368d6cc11f3f05259e3fa2662c867ba99d15bcd320a4853d72a41190a01,True,REWRITE,BALANCED,NOT_RUN,U-1b6faf36fb6c,e988eb9836aa205b164a9e2077cfec1d6cf36cc173b14765fee43fdcf77c9666,U-aa70d7ac67ab,U-b39b5bae86b9,0,1,SKIPPED_PROTECTED,d45d4a43d13bc2c06342a6d0479c58f3531b78de40274dba1ddab85a06b20e87,,,NOT_RUN,NOT_RUN,
U-b39b5bae86b9,F00001,问题一的模型建立与求解 / 模型建立,1,116,181,66,MODELING,MODELING,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-modeling,1,DEFAULT,DEFAULT,SCENE_DEFAULT,MODELING,9e19a368d6cc11f3f05259e3fa2662c867ba99d15bcd320a4853d72a41190a01,True,REWRITE,BALANCED,NOT_RUN,U-b39b5bae86b9,04d64f47eaa86bce5d385f6c3c4db5536827c6bf3f10a327393d6e7758374b60,U-1b6faf36fb6c,U-46fd651c1f35,842,97,PENDING,941ef8e74f8a460d0fffe07d50ff2740966abe13c29895b88c92fa7b98c887c1,,,NOT_RUN,NOT_RUN,
U-46fd651c1f35,F00001,问题一的模型建立与求解 / 参数标定与结果对照,1,182,188,7,MODELING,MODELING,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-modeling,1,DEFAULT,DEFAULT,SCENE_DEFAULT,MODELING,9e19a368d6cc11f3f05259e3fa2662c867ba99d15bcd320a4853d72a41190a01,True,REWRITE,BALANCED,NOT_RUN,U-46fd651c1f35,12f2a15c7a6032a929647d12f504d5549751676dc3576989b27c1ab70bd7c1a3,U-b39b5bae86b9,U-ab841ce78d7e,313,19,PENDING,459685933a67648953df5497d320befc852b3c77fbace3dd1b8f290bef24aba0,,,NOT_RUN,NOT_RUN,
U-ab841ce78d7e,F00001,问题一的模型建立与求解 / 结果与机制解释,1,189,215,27,MODELING,MODELING,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-modeling,1,DEFAULT,DEFAULT,SCENE_DEFAULT,MODELING,9e19a368d6cc11f3f05259e3fa2662c867ba99d15bcd320a4853d72a41190a01,True,REWRITE,BALANCED,NOT_RUN,U-ab841ce78d7e,723108ee17f060099d63f3f49979a7de3323324434695b42202eddae195fbc8d,U-46fd651c1f35,U-189f6d50e72b,437,30,PENDING,981e2b6b27d1f1d0fb3c978b7e99a9f7e16bc43a0f58459ef7e83e40218931ce,,,NOT_RUN,NOT_RUN,
U-189f6d50e72b,F00001,问题二的模型建立与求解,1,216,216,1,MODELING,MODELING,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-modeling,1,DEFAULT,DEFAULT,SCENE_DEFAULT,MODELING,9e19a368d6cc11f3f05259e3fa2662c867ba99d15bcd320a4853d72a41190a01,True,REWRITE,BALANCED,NOT_RUN,U-189f6d50e72b,eb6a98046a198efa15e1b867a771b58adaf95916087c52810d08fe5d0734c77d,U-ab841ce78d7e,U-d5ace5fbd128,0,1,SKIPPED_PROTECTED,95700aad0163cbf3d0effaa87863f55f72f35763d01c9e8eef03381d05b9aeb8,,,NOT_RUN,NOT_RUN,
