group,branch,algorithm_or_model,owner,report_line,report_evidence,status
数据前处理与探索,缺失值处理,均值填充,组员2,294,数据工作从数据字典和泄漏边界开始。缺失值按形成机制选择均值/中位数、插值、,已覆盖
数据前处理与探索,缺失值处理,插值填充,组员2,294,数据工作从数据字典和泄漏边界开始。缺失值按形成机制选择均值/中位数、插值、,已覆盖
数据前处理与探索,缺失值处理,KNN 填充,组员2,295,KNN 填补或删除；异常值用 $3\sigma$、箱线图和 Isolation Forest 交叉检查，,已覆盖
数据前处理与探索,缺失值处理,删除法,组员2,295,KNN 填补或删除；异常值用 $3\sigma$、箱线图和 Isolation Forest 交叉检查，,已覆盖
数据前处理与探索,异常值处理,3σ 准则,组员2,295,KNN 填补或删除；异常值用 $3\sigma$、箱线图和 Isolation Forest 交叉检查，,已覆盖
数据前处理与探索,异常值处理,箱线图,组员2,295,KNN 填补或删除；异常值用 $3\sigma$、箱线图和 Isolation Forest 交叉检查，,已覆盖
数据前处理与探索,异常值处理,Isolation Forest,组员2,295,KNN 填补或删除；异常值用 $3\sigma$、箱线图和 Isolation Forest 交叉检查，,已覆盖
数据前处理与探索,重复值处理,去重,组员2,692,缺失与异常 & 均值/中位数、插值、KNN、删除；$3\sigma$、箱线图、Isolation Forest；重复样本删除/合并 & 组员2 & 处理前后审计表、规则理由、下游敏感性\\,已覆盖
数据前处理与探索,重复值处理,重复样本合并,组员2,692,缺失与异常 & 均值/中位数、插值、KNN、删除；$3\sigma$、箱线图、Isolation Forest；重复样本删除/合并 & 组员2 & 处理前后审计表、规则理由、下游敏感性\\,已覆盖
数据前处理与探索,尺度处理,标准化,组员2,297,Z-score 标准化与 Min--Max 归一化，类别变量按名义/有序属性选择 one-hot 或,已覆盖
数据前处理与探索,尺度处理,Min-Max 归一化,组员2,297,Z-score 标准化与 Min--Max 归一化，类别变量按名义/有序属性选择 one-hot 或,已覆盖
数据前处理与探索,分类变量处理,独热编码,组员2,297,Z-score 标准化与 Min--Max 归一化，类别变量按名义/有序属性选择 one-hot 或,已覆盖
数据前处理与探索,分类变量处理,标签编码,组员2,298,label 编码，连续变量只有在解释或规则需要时才按等宽/等频分箱。样本筛选使用,已覆盖
数据前处理与探索,连续变量离散化,等宽分箱,组员2,298,label 编码，连续变量只有在解释或规则需要时才按等宽/等频分箱。样本筛选使用,已覆盖
数据前处理与探索,连续变量离散化,等频分箱,组员2,298,label 编码，连续变量只有在解释或规则需要时才按等宽/等频分箱。样本筛选使用,已覆盖
数据前处理与探索,相关性分析,Pearson,组员2,302,探索阶段采用 Pearson、Spearman、Kendall 相关，分别对应线性、单调秩和序关系；,已覆盖
数据前处理与探索,相关性分析,Spearman,组员2,302,探索阶段采用 Pearson、Spearman、Kendall 相关，分别对应线性、单调秩和序关系；,已覆盖
数据前处理与探索,相关性分析,Kendall,组员2,302,探索阶段采用 Pearson、Spearman、Kendall 相关，分别对应线性、单调秩和序关系；,已覆盖
数据前处理与探索,聚类分析,K-Means,组员2,303,聚类比较 K-Means、DBSCAN、层次聚类和谱聚类。空间或时间缺口比较 Lagrange、,已覆盖
数据前处理与探索,聚类分析,DBSCAN,组员2,303,聚类比较 K-Means、DBSCAN、层次聚类和谱聚类。空间或时间缺口比较 Lagrange、,已覆盖
数据前处理与探索,聚类分析,层次聚类,组员2,303,聚类比较 K-Means、DBSCAN、层次聚类和谱聚类。空间或时间缺口比较 Lagrange、,已覆盖
数据前处理与探索,聚类分析,谱聚类,组员2,303,聚类比较 K-Means、DBSCAN、层次聚类和谱聚类。空间或时间缺口比较 Lagrange、,已覆盖
数据前处理与探索,插值拟合,Lagrange 插值,组员2,303,聚类比较 K-Means、DBSCAN、层次聚类和谱聚类。空间或时间缺口比较 Lagrange、,已覆盖
数据前处理与探索,插值拟合,三次样条插值,组员2,304,三次样条和 Kriging 插值。PCA 用于线性方差压缩，t-SNE 主要用于局部结构可视化，,已覆盖
