unit_id,file_id,heading_path,part,start_line,end_line,line_count,scene,scene_requested,scene_document_prior,scene_routing_decision,scene_routing_policy_sha256,scene_routing_policy_revision,scene_routing_top_score,scene_routing_margin,voice_profile_id,voice_profile_revision,voice_profile_confidence,voice_profile_kind,voice_profile_source,voice_profile_binding_scene,voice_profile_sha256,voice_default_disclosure,mode,intensity,structural_plan_status,owner_chunk,chunk_binding_sha256,context_before_unit,context_after_unit,author_chars,protected_spans,status,hash_before,hash_after,diff_path,protected_hashes_ok,style_validation,notes
U-5e14fbfe78aa,F00001,(front-matter),1,1,54,54,MODELING,MODELING,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-modeling,1,DEFAULT,DEFAULT,SCENE_DEFAULT,MODELING,9e19a368d6cc11f3f05259e3fa2662c867ba99d15bcd320a4853d72a41190a01,True,REWRITE,BALANCED,NOT_RUN,U-5e14fbfe78aa,02c8c8df330aa3ea251f0035ef4599aca8c242f8d374ea9535e5e3c8aa65ce5e,,U-3046ca2c06b4,235,32,UNRESOLVED,414eaf04ead90a1a87774b7a741341a8ba797e040a16f4b86e3891e2214f903e,,,NOT_RUN,NOT_RUN,environment:TEX_MACRO_DEFINITION_UNSUPPORTED: TeX macro definitions cannot be authenticated statically
U-3046ca2c06b4,F00001,阶段学习笔记,1,55,56,2,MODELING,MODELING,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-modeling,1,DEFAULT,DEFAULT,SCENE_DEFAULT,MODELING,9e19a368d6cc11f3f05259e3fa2662c867ba99d15bcd320a4853d72a41190a01,True,REWRITE,BALANCED,NOT_RUN,U-3046ca2c06b4,a9fae63f81c58b3b77f336f8a5a50cfc57628cef43093c83f5357f34a4d23512,U-5e14fbfe78aa,U-3da433cf1032,0,1,SKIPPED_PROTECTED,62d267f203077e211133876c5e5b5fc5f187c75de9a40629104b86b9d7fa4dc6,,,NOT_RUN,NOT_RUN,
U-3da433cf1032,F00001,阶段学习笔记 / 选题侧重与成员分工,1,57,62,6,MODELING,MODELING,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-modeling,1,DEFAULT,DEFAULT,SCENE_DEFAULT,MODELING,9e19a368d6cc11f3f05259e3fa2662c867ba99d15bcd320a4853d72a41190a01,True,REWRITE,BALANCED,NOT_RUN,U-3da433cf1032,33659137ac0b8815c1d2d584d2eec40b80d0faf7968d4cbf0b0473b6a1bae139,U-3046ca2c06b4,U-8f075b48e433,250,1,PENDING,35350a0ee8dcf567dcb45285a8093dd21dd35fd35ebe478f0ed3130887c74330,,,NOT_RUN,NOT_RUN,
U-8f075b48e433,F00001,阶段学习笔记 / 十三个算法与模型学习单元,1,63,120,58,MODELING,MODELING,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-modeling,1,DEFAULT,DEFAULT,SCENE_DEFAULT,MODELING,9e19a368d6cc11f3f05259e3fa2662c867ba99d15bcd320a4853d72a41190a01,True,REWRITE,BALANCED,NOT_RUN,U-8f075b48e433,3a3b5bf96eca2b69f02f4445c1a33d1287ad9d4cfd89bdb2908e5864c5c04eab,U-3da433cf1032,U-37a575bbabe3,967,32,PENDING,23095ee4bb26a6da0eeff233711f186d3df1bf91919b15af1d19ada01c1c4955,,,NOT_RUN,NOT_RUN,
U-37a575bbabe3,F00001,阶段学习笔记 / 本阶段做得较好的地方,1,121,124,4,MODELING,MODELING,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-modeling,1,DEFAULT,DEFAULT,SCENE_DEFAULT,MODELING,9e19a368d6cc11f3f05259e3fa2662c867ba99d15bcd320a4853d72a41190a01,True,REWRITE,BALANCED,NOT_RUN,U-37a575bbabe3,a02124a0b5cb9ad57b470d02ea26ae0ac726850a5354737a54c1541f3f20b12b,U-8f075b48e433,U-55e0c02d2595,120,1,PENDING,cc3035ac2d8baea5ecee4b958ac78cd3fe2043a3b1585699085321ca4fc1a62c,,,NOT_RUN,NOT_RUN,
U-55e0c02d2595,F00001,阶段学习笔记 / 目前不足,1,125,128,4,MODELING,MODELING,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-modeling,1,DEFAULT,DEFAULT,SCENE_DEFAULT,MODELING,9e19a368d6cc11f3f05259e3fa2662c867ba99d15bcd320a4853d72a41190a01,True,REWRITE,BALANCED,NOT_RUN,U-55e0c02d2595,065c66859daf64555e0545f8ba1f5d9c7c6425aa74a864115650eebbeb4754dd,U-37a575bbabe3,U-2dd92a187bf8,48,1,PENDING,413e9f34d1bd3ec0eef581fc3d6d060479eeabca20345cd4f20976f73c323c7e,,,NOT_RUN,NOT_RUN,
U-2dd92a187bf8,F00001,一等奖论文学习分析,1,129,130,2,MODELING,MODELING,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-modeling,1,DEFAULT,DEFAULT,SCENE_DEFAULT,MODELING,9e19a368d6cc11f3f05259e3fa2662c867ba99d15bcd320a4853d72a41190a01,True,REWRITE,BALANCED,NOT_RUN,U-2dd92a187bf8,e8fe2f8892034b722be5f84a9653e181222afb67df07023007a6879006c0f9c8,U-55e0c02d2595,U-4c7b7e1699f3,0,1,SKIPPED_PROTECTED,89e2d6624bd249fabdb5b5b855d84da5653c8b488632166c84b8b47d1e0a9c76,,,NOT_RUN,NOT_RUN,
U-4c7b7e1699f3,F00001,一等奖论文学习分析 / 选文与阅读范围,1,131,134,4,MODELING,MODELING,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-modeling,1,DEFAULT,DEFAULT,SCENE_DEFAULT,MODELING,9e19a368d6cc11f3f05259e3fa2662c867ba99d15bcd320a4853d72a41190a01,True,REWRITE,BALANCED,NOT_RUN,U-4c7b7e1699f3,0682b665ae21ecb0aa3c35090ab3d2508082a71f87b9d3b339cc41813ce3bd6f,U-2dd92a187bf8,U-d41a386bb818,20,2,PENDING,585a8483db6e557dbb83f36b0b96d1aa995dc12f94482868cd234fdaa1143706,,,NOT_RUN,NOT_RUN,
U-d41a386bb818,F00001,一等奖论文学习分析 / 论文结构及各部分写法,1,135,196,62,MODELING,MODELING,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-modeling,1,DEFAULT,DEFAULT,SCENE_DEFAULT,MODELING,9e19a368d6cc11f3f05259e3fa2662c867ba99d15bcd320a4853d72a41190a01,True,REWRITE,BALANCED,NOT_RUN,U-d41a386bb818,b957039d6ed497e22c8dc5aa6b03224da64154e85f0fb73fbe75cc7c0e770c9c,U-4c7b7e1699f3,U-ec3af1fecff8,840,37,PENDING,bd7f78094dfc2720b1039e791ecad9a6b669dacd913e437f5c89045bc5a57591,,,NOT_RUN,NOT_RUN,
U-ec3af1fecff8,F00001,一等奖论文学习分析 / 五个分问的思路怎样连起来,1,197,211,15,MODELING,MODELING,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-modeling,1,DEFAULT,DEFAULT,SCENE_DEFAULT,MODELING,9e19a368d6cc11f3f05259e3fa2662c867ba99d15bcd320a4853d72a41190a01,True,REWRITE,BALANCED,NOT_RUN,U-ec3af1fecff8,d5b5aceae3c32b4c73cfb31a06c9765544e1ecfcc2fb3ae26f6bc96dc2e09997,U-d41a386bb818,U-5001b884c3d5,295,10,PENDING,351cbd8ac18111bc4c703aec96915b9c8f1df5a61774fb5c8e54cc323e63f3db,,,NOT_RUN,NOT_RUN,
U-5001b884c3d5,F00001,一等奖论文学习分析 / 最值得模仿的段落组织,1,212,213,2,MODELING,MODELING,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-modeling,1,DEFAULT,DEFAULT,SCENE_DEFAULT,MODELING,9e19a368d6cc11f3f05259e3fa2662c867ba99d15bcd320a4853d72a41190a01,True,REWRITE,BALANCED,NOT_RUN,U-5001b884c3d5,ef555958b0c4ef7c6e994939ce4accf35ac7ec80a0c6d89bdbe08e85e74d5e55,U-ec3af1fecff8,U-e84137d505c6,0,1,SKIPPED_PROTECTED,db0f357f34fc00d35a37e2f5e9bd96696831be9a758b198e84ada83e3981fafc,,,NOT_RUN,NOT_RUN,
U-e84137d505c6,F00001,一等奖论文学习分析 / 最值得模仿的段落组织 / 从局部关系写到全局运动。,1,214,216,3,MODELING,MODELING,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-modeling,1,DEFAULT,DEFAULT,SCENE_DEFAULT,MODELING,9e19a368d6cc11f3f05259e3fa2662c867ba99d15bcd320a4853d72a41190a01,True,REWRITE,BALANCED,NOT_RUN,U-e84137d505c6,5081dce4bc0dbc7cd9a0bdd24661a0ba937242e86e311924362de66f6b1bbb3e,U-5001b884c3d5,U-eddb4927f66d,74,1,PENDING,3672c39f84b2c903062bf69df4b96807d795b9583bf7514e9d61f6186d1adfa0,,,NOT_RUN,NOT_RUN,
U-eddb4927f66d,F00001,一等奖论文学习分析 / 最值得模仿的段落组织 / 先证明检查范围不会漏，再缩小程序。,1,217,219,3,MODELING,MODELING,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-modeling,1,DEFAULT,DEFAULT,SCENE_DEFAULT,MODELING,9e19a368d6cc11f3f05259e3fa2662c867ba99d15bcd320a4853d72a41190a01,True,REWRITE,BALANCED,NOT_RUN,U-eddb4927f66d,79d66d53413be85a6908d141c85277a63c883c9f6163cb6809ba5497c19f6eaf,U-e84137d505c6,U-46d05e0ad869,105,3,PENDING,bc0f4beaea6d833186494493b1edfa35de8cd138f727b38f1dce26715d87237a,,,NOT_RUN,NOT_RUN,
U-46d05e0ad869,F00001,一等奖论文学习分析 / 最值得模仿的段落组织 / 用反例判断并简化方案。,1,220,223,4,MODELING,MODELING,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-modeling,1,DEFAULT,DEFAULT,SCENE_DEFAULT,MODELING,9e19a368d6cc11f3f05259e3fa2662c867ba99d15bcd320a4853d72a41190a01,True,REWRITE,BALANCED,NOT_RUN,U-46d05e0ad869,989bde3eb34c51b46d20e961dd92d64e4fe23f9e209592956f28034b27008f0b,U-eddb4927f66d,U-ce4458e5ec86,134,3,PENDING,66c0c0566ab8d7c9a693a547d0f330909ea620820e95e5f16b763b73bb0a30ab,,,NOT_RUN,NOT_RUN,
